lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.5577145,-58.4626871,238 - RIVERA,303,20,"Rivera, Pedro I., Dr. 2583","Rivera, Pedro I., Dr.",2583,,Belgrano
-34.589409,-58.484204,395 - Agronomia II,304,16,De Los Incas Av. y De Los Constituyentes Av.,De Los Incas Av.,,De Los Constituyentes Av.,Agronomia
-34.612684,-58.44487,398 - Rojas,305,16,Rojas 731,Rojas,731,,Caballito
-34.608465,-58.45585,380 - Paysandu y Galicia,306,20,Galicia 1220,Galicia,1220,,Caballito
-34.6451626,-58.365323,358 - Plaza Almirante Brown,307,18,Irala y California,Irala,,California,Boca
-34.567639,-58.436847,251 - Solar de la Abadía,308,20,Maure 1819,Maure,1819,,Palermo
-34.6350001,-58.367059,298 - IRALA,309,20,Irala 695,Irala,695,,Barracas
-34.63819,-58.37747,356 - Plaza Sergio Karakachoff,310,16,Brandsen y Herrera,Brandsen,,Herrera,Barracas
-34.5972098,-58.47421143,213 - Hospital Alvear,311,20,Warnes Av. 2626,Warnes Av.,2626,,Flores
-34.629028,-58.4769111,311 - CONCORDIA,312,20,Bogota 3396,Bogota,3396,,Floresta
-34.565003,-58.4449536,291 - UNIVERSIDAD DE BELGRANO,313,20,Zabala 1920,Zabala,1920,,Palermo
-34.61047,-58.4602399,212 - SOR JUANA,314,16,Galicia 1630,Galicia,1630,,Caballito
-34.605638,-58.4533609,205 - SAN MARTIN,316,16,Cucha Cucha 1471,Cucha Cucha,1471,,Villa Crespo
-34.5797368,-58.4578146,220 - GIRIBONE,317,20,Giribone 1101,Giribone,1101,,Chacarita
-34.603935,-58.45732,285 - ESPINOSA,318,20,Espinosa 1785,Espinosa,1785,,Villa Crespo
-34.6036,-58.4036,329 - PASO Y LAVALLE,319,20,Paso 486,Paso,486,,Balvanera
-34.584058,-58.440073,364 - Carranza Y Gorriti,320,20,"Carranza, Angel Justiniano 1501","Carranza, Angel Justiniano",1501,,Palermo
-34.561851,-58.444754,246 - EDUARDO OLIVERA,321,16,"Campos, Luis M. Av. 1631","Campos, Luis M. Av.",1631,,Belgrano
-34.5513269,-58.4541858,289 - MONTAÑESES,322,20,Montañeses 2786,Montañeses,2786,,Belgrano
-34.565275,-58.459401,240 - ECHEVERRIA,323,24,Vidal 1981,Vidal,1981,,Belgrano
-34.578933,-58.4840556,280 - JURAMENTO,324,16,Juramento 5209,Juramento,5209,,Villa Urquiza
-34.645252,-58.416547,342 - SAENZ,325,16,Del Tigre 3935,Del Tigre,3935,,Nueva Pompeya
-34.6411734,-58.4202266,343 - POMAR,326,20,"Pomar, Gregorio Tte. Cnel. 4152","Pomar, Gregorio Tte. Cnel.",4152,,Nueva Pompeya
-34.654386,-58.419928,341 - TILCARA,327,16,Tilcara 3318,Tilcara,3318,,Nueva Pompeya
-34.5931053,-58.4351681,100 - Plaza Gurruchaga,329,20,Gurruchaga 1078,Gurruchaga,1078,,Villa Crespo
-34.6008,-58.47,148 - Paternal,330,16,12 De Octubre 1718, De Octubre,1718,,Paternal
-34.602133,-58.490891,202 - Nogoya Y Argerich,332,16,Argerich 3018,Argerich,3018,,Villa Del Parque
-34.6004332,-58.5036238,203 - Beiro,333,20,"Beiro, Francisco Av. 3572","Beiro, Francisco Av.",3572,,Villa Del Parque
-34.615852,-58.470907,206 - Galicia,335,20,Galicia 2502,Galicia,2502,,Villa General Mitre
-34.5999173,-58.5114159,207 - PLAZA ARENALES,336,28,Nueva York y Chivilcoy Av.,Nueva York,,Chivilcoy Av.,Devoto
-34.5985,-58.4613,208 - Segui,337,16,"Segui, F. J., Alte. 2419","Segui, F. J., Alte.",2419,,Paternal
-34.602931,-58.479421,210 - Terrero,338,16,Terrero 3211,Terrero,3211,,Villa Del Parque
-34.61938,-58.45471,211 - ARANGUREN Y SEGUI,339,16,"Aranguren, Juan F., Dr. 1608","Aranguren, Juan F., Dr.",1608,,Caballito
-34.626242,-58.467329,214 - Flores,340,12,Bogota 2620,Bogota,2620,,Flores
-34.6142336,-58.4813858,216 - Margariños Cervantes y Argerich,341,16,"Magariños Cervantes, A. 3011","Magariños Cervantes, A.",3011,,Villa Santa Rita
-34.616813,-58.484297,218 - Campana,342,20,Campana 1523,Campana,1523,,Villa Santa Rita
-34.6357272,-58.4411639,219 - Parque Chacabuco II,343,20,Asamblea Av. y Faraday,Asamblea Av.,,Faraday,Parque Chacabuco
-34.5947762,-58.4750615,226 - Parque La Paternal,345,20,"Zabala, Joaquin, Dr. y Chorroarin Av.","Zabala, Joaquin, Dr.",,Chorroarin Av.,Caballito
-34.5834356,-58.4065391,230 - Parque Las Heras II,347,20,"Pacheco De Melo, Jose Andres 3120","Pacheco De Melo, Jose Andres",3120,,Palermo
-34.610482,-58.474369,231 - Margariños Cervantes,348,16,"Magariños Cervantes, A. 2465","Magariños Cervantes, A.",2465,,Villa General Mitre
-34.570894,-58.466884,232 - Sucre y Martinez,349,20,"Sucre, Antonio Jose De, Mcal. 3517","Sucre, Antonio Jose De, Mcal.",3517,,Belgrano
-34.567996,-58.4851455,234 - Valdenegro,350,20,Valdenegro 2831,Valdenegro,2831,,Villa Urquiza
-34.5717033,-58.4520772,235 - Colegiales,351,16,Zabala 2825,Zabala,2825,,Colegiales
-34.5807104,-58.4248291,236 - Guemes,352,28,Guemes 4718,Guemes,4718,,Palermo
-34.5986779,-58.3647259,237 - Madero Office,353,20,"Sanchez De Thompson, Mariquita 367","Sanchez De Thompson, Mariquita",367,,Puerto Madero
-34.613457,-58.4401581,241 - Sanatorio Mendez,354,20,Hidalgo 512,Hidalgo,512,,Caballito
-34.5675048,-58.4465088,242 - Plazoleta Rafael del Riego,355,16,O'Higgins 1327,O'Higgins,1327,,Palermo
-34.547695,-58.4584684,245 - Arribeños,356,16,Arribeños 3229,Arribeños,3229,,Nuñez
-34.5615465,-58.4655255,249 - Balbín,358,12,Conesa 2519,Conesa,2519,,Belgrano
-34.555654,-58.4504687,250 - Fleni,359,20,Montañeses 2292,Montañeses,2292,,Belgrano
-34.569147,-58.453732,258 - Plaza J.J. Paso,361,20,Moldes 1399,Moldes,1399,,Colegiales
-34.566746,-58.479108,262 - Holmberg,362,16,Holmberg 2725,Holmberg,2725,,Villa Urquiza
-34.642052,-58.46205,354 - Plaza Tupac Amaru,363,28,Primera Junta 3101,Primera Junta,3101,,Flores
-34.568722,-58.434381,381 - Matienzo Y Arce,364,24,"Matienzo, Benjamin, Teniente 1798","Matienzo, Benjamin, Teniente",1798,,Palermo
-34.635402,-58.482602,360 - Plaza Ramon Falcon,366,20,"Falcon, Ramon L.,Cnel. 3991","Falcon, Ramon L.,Cnel.",3991,,Velez Sarfield
-34.6163487,-58.4772418,287 - Belaustegui,367,16,"Belaustegui, Luis, Dr. 2874","Belaustegui, Luis, Dr.",2874,,Villa Santa Rita
-34.592244,-58.491797,304 - Navarro,369,20,Navarro 2625,Navarro,2625,,Agronomia
-34.590964,-58.500336,305 - Plaza Martin Rodriguez,370,20,Pareja 3016,Pareja,3016,,Agronomia
-34.63281,-58.455058,269 - Plaza De La Misericordia,371,16,Lautaro 493,Lautaro,493,,Flores
-34.636406,-58.470136,322 - MARTÍ Y DIRECTORIO,372,12,"Marti, Jose 404","Marti, Jose",404,,Flores
-34.5824889,-58.4810286,265 - Plaza Exodo Jujeño,373,16,Liverpool 2812,Liverpool,2812,,Parque Chas
-34.645764,-58.4573968,367 - Mariano Castex,374,16,"Alvarez, Crisostomo 2873","Alvarez, Crisostomo",2873,,Flores
-34.6050537,-58.4847864,301 - Arregui Y Terrada,375,16,Arregui 2793,Arregui,2793,,Villa Del Parque
-34.626698,-58.4871352,324 - Las Victorias,376,20,"Vallese, Felipe 4083","Vallese, Felipe",4083,,Floresta
-34.607333,-58.422987,327 - ACUÑA DE FIGUEROA Y POTOSI,377,16,"Acuña De Figueroa, Francisco 296","Acuña De Figueroa, Francisco",296,,Almagro
-34.623123,-58.468287,215 - HOSPITAL ALVAREZ,378,20,Estado Plurinacional De Bolivia 683,Estado Plurinacional De Bolivia,683,,Flores
-34.560162,-58.428163,390 - De Los Ombues,379,20,"De Los Ombues Av. y Bello, Andres",De Los Ombues Av.,,"Bello, Andres",Palermo
