station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,name,capacity,lat,lon,timestamp_consulta
44,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868837,False,IN_SERVICE,044 - Ecoparque,20,-34.5755148,-58.4138829,2019-11-27 12:37:08.432487-03:00
45,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868842,False,IN_SERVICE,045 - Uruguay,20,-34.6018635,-58.3866934,2019-11-27 12:37:08.432487-03:00
46,0,"{'mechanical': 0, 'ebike': 0}",2,16,0,1,1,1,1574868764,False,IN_SERVICE,046 - Chile,18,-34.6163012,-58.3743749,2019-11-27 12:37:08.432487-03:00
47,1,"{'mechanical': 1, 'ebike': 0}",4,11,0,1,1,1,1574868898,False,IN_SERVICE,047 - Colegio Nacional de Buenos Aires,16,-34.6117408,-58.3733149,2019-11-27 12:37:08.432487-03:00
48,0,"{'mechanical': 0, 'ebike': 0}",1,15,0,1,1,1,1574868902,False,IN_SERVICE,034 - Colonia Express,16,-34.623937,-58.362004,2019-11-27 12:37:08.432487-03:00
49,1,"{'mechanical': 1, 'ebike': 0}",1,18,0,1,1,1,1574868781,False,IN_SERVICE,049 - 33 Orientales,20,-34.6290527,-58.422611,2019-11-27 12:37:08.432487-03:00
50,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868949,False,IN_SERVICE,050 - Hospital Rivadavia,20,-34.5837348,-58.4010798,2019-11-27 12:37:08.432487-03:00
51,0,"{'mechanical': 0, 'ebike': 0}",0,12,0,1,1,1,1574868879,False,IN_SERVICE,051 - TUCUMAN,12,-34.6014776,-58.3821261,2019-11-27 12:37:08.432487-03:00
52,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868876,False,IN_SERVICE,052 - SANCHEZ DE BUSTAMANTE,20,-34.606682,-58.414851,2019-11-27 12:37:08.432487-03:00
53,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574869008,False,IN_SERVICE,053 - Ricardo Rojas,20,-34.5952579,-58.3743514,2019-11-27 12:37:08.432487-03:00
54,2,"{'mechanical': 2, 'ebike': 0}",0,18,0,1,1,1,1574868837,False,IN_SERVICE,054 - Acuña de Figueroa,20,-34.5981183,-58.4219844,2019-11-27 12:37:08.432487-03:00
55,0,"{'mechanical': 0, 'ebike': 0}",0,20,0,1,1,1,1574868893,False,IN_SERVICE,055 - Bouchard,20,-34.5994122,-58.36966404,2019-11-27 12:37:08.432487-03:00
